参数U,参数V,参数W 
0.000000,2.4219429,0.0000000 
0.000000,2.5186983,0.0000000 
0.000000,2.5186983,0.0000000 
0.000000,2.5186983,0.0000000 
0.000000,3.0989094,0.0000000 
0.000000,2.4219429,0.0000000 
0.000000,2.4219429,0.0000000 
0.000000,3.0989094,0.0000000 
0.000000,2.4219429,0.0000000 
0.000000,2.4219429,0.0000000 
0.000000,2.4219429,0.0000000 
0.000000,2.4219429,0.0000000 
10000.000000,10000.0000000,10000.0000000 
10000.000000,10000.0000000,10000.0000000 
10000.000000,10000.0000000,10000.0000000 
10000.000000,10000.0000000,10000.0000000 
10000.000000,10000.0000000,10000.0000000 
10000.000000,10000.0000000,10000.0000000 
10000.000000,10000.0000000,10000.0000000 
10000.000000,10000.0000000,10000.0000000 
10000.000000,10000.0000000,10000.0000000 
10000.000000,10000.0000000,10000.0000000 
10000.000000,10000.0000000,10000.0000000 
10000.000000,10000.0000000,10000.0000000 
10000.000000,10000.0000000,10000.0000000 
10000.000000,10000.0000000,10000.0000000 
10000.000000,10000.0000000,10000.0000000 
